id,mensagem
1, "Sua vida é preciosa. Cuide bem dela."
2, "Não desista. Depois da noite mais escura, sempre amanhece."
3, "Você é mais forte do que imagina. Acredite na sua força interior."
4, "Falar é o primeiro passo para a cura. Não guarde a sua dor só para você."
5, "Permita-se recomeçar. Cada dia é uma nova oportunidade."
6, "Você não está sozinho(a) nesta jornada. Peça ajuda."
7, "A esperança é a luz que nos guia na escuridão. Mantenha-a acesa."
8, "Seja gentil com você mesmo(a). Você está fazendo o seu melhor."
9, "As nuvens cinzentas também fazem parte da paisagem. Tudo passa."
10, "Encontre beleza nos pequenos detalhes da vida."
11, "Um passo de cada vez. É assim que as grandes caminhadas começam."
12, "Seu futuro ainda não foi escrito. Há muitas páginas em branco esperando por você."
13, "Ouvir com empatia pode salvar uma vida. Esteja presente para alguém."
14, "Dentro de você existe uma força capaz de superar qualquer desafio."
15, "Assim como a lua, a vida é feita de fases. Respeite seu momento."
16, "Respire fundo. Acalme sua mente e seu coração."
17, "Você importa. Sua história, seus sentimentos e sua vida são valiosos."
18, "Está tudo bem não estar bem. Acolha suas vulnerabilidades."
19, "A jornada pode ser longa, mas a vista do topo vale a pena."
20, "Cultive a esperança como quem cultiva um jardim. Com cuidado e paciência."
21, "Cada novo dia é uma nova chance de reescrever sua história."
22, "Não tenha medo de pedir ajuda. Isso é um ato de coragem, não de fraqueza."
23, "Sua saúde mental é tão importante quanto a sua saúde física. Cuide dela."
24, "Lembre-se do seu valor, mesmo quando for difícil enxergá-lo."
25, "Permita que a esperança seja a trilha sonora da sua vida."
26, "A persistência transforma sonhos em realidade."
27, "O fracasso é apenas um degrau no caminho do sucesso."
28, "A disciplina vence quando a motivação falha."
29, "Pequenos passos diários levam a grandes conquistas."
30, "Você é mais forte do que imagina."
31, "Não espere pela oportunidade, crie-a."
32, "O esforço de hoje é a vitória de amanhã."
33, "Quem acredita, conquista."
34, "O impossível é apenas o possível que ainda não foi tentado."
35, "Seu futuro depende das escolhas que você faz agora."
